;force
208,5;-8451,931918637172
209,0;-8446,637459981846
209,5;-8451,769843372214
210,0;-8457,179105340223
210,5;-8446,637459981846
211,0;-8447,015635600084
211,5;-8447,198720621613
212,0;-8444,757649530278
212,5;-8457,33442746914
213,0;-8450,945960775338
213,5;-8440,793746261934
214,0;-8440,354792419335
214,5;-8447,456840488027
215,0;-8446,315560497274
215,5;-8451,243098761099
216,0;-8454,8430397424
216,5;-8451,243098761099
217,0;-8455,97029398907
217,5;-8457,742992199559
218,0;-8454,854150671355
218,5;-8449,874463190334
219,0;-8449,187894359604
219,5;-8447,821059625116
220,0;-8441,887754300407
220,5;-8441,225946968492
221,0;-8447,033643962857
221,5;-8442,10835674438
222,0;-8439,90233230466
222,5;-8433,596403940237
223,0;-8420,241702246993
223,5;-8418,607443325323
224,0;-8416,041251630139
224,5;-8409,445688764443
225,0;-8408,55427480717
225,5;-8408,55427480717
226,0;-8408,248132640025
226,5;-8414,245610072845
227,0;-8417,363178009959
227,5;-8410,629288407714
228,0;-8406,624782630419
228,5;-8404,162485335852
229,0;-8392,830723060797
229,5;-8388,225084281545
230,0;-8396,963829904365
230,5;-8390,478380673545
231,0;-8390,585680501736
231,5;-8394,126574832022
232,0;-8393,746898516887
232,5;-8390,854305246437
233,0;-8393,042321323384
233,5;-8387,276528403936
234,0;-8368,771550395772
234,5;-8356,476340712352
235,0;-8351,627589035661
235,5;-8351,85044252498
236,0;-8354,438019150957
236,5;-8352,755362754333
237,0;-8351,627589035661
237,5;-8351,999011517859
238,0;-8353,651841563638
238,5;-8354,054215919354
239,0;-8351,43399913585
239,5;-8336,684976867242
240,0;-8320,990861867711
240,5;-8334,461679983422
241,0;-8338,590659910518
241,5;-8317,650310573277
242,0;-8307,626405644634
242,5;-8307,383292747196
243,0;-8306,743245520296
243,5;-8307,626405644634
244,0;-8311,443213818835
244,5;-8309,975210674913
245,0;-8308,507207530989
245,5;-8307,086154761437
246,0;-8307,153686121836
246,5;-8311,952914800899
247,0;-8312,0542118415
247,5;-8309,582564050874
248,0;-8304,815975529336
248,5;-8291,506669917251
249,0;-8294,294401991969
249,5;-8304,074256087615
250,0;-8295,416735684386
250,5;-8285,489625705646
251,0;-8270,09416381855
251,5;-8267,638648519574
252,0;-8279,183697341223
252,5;-8279,56262330791
253,0;-8267,638648519574
253,5;-8258,078646519454
254,0;-8264,710226110696
254,5;-8277,045954610354
255,0;-8276,665527946769
255,5;-8250,266393643895
256,0;-8237,699932996202
256,5;-8240,671312853785
257,0;-8265,522853480836
257,5;-8264,828218404278
258,0;-8245,630687330367
258,5;-8234,01046967304
259,0;-8232,170499838152
259,5;-8248,351879576563
260,0;-8264,909010730536
260,5;-8252,937258947697
261,0;-8223,540857765756
261,5;-8230,001170323538
262,0;-8247,777863013169
262,5;-8247,777863013169
263,0;-8241,294852414807
263,5;-8225,20982030319
264,0;-8213,656517648602
264,5;-8222,058919579209
265,0;-8226,260120544513
265,5;-8202,653407994161
266,0;-8191,8663986930005
266,5;-8191,8663986930005
267,0;-8205,278877216806
267,5;-8215,885052541787
268,0;-8206,628754076351
268,5;-8190,77689274522
269,0;-8203,245432920332
269,5;-8214,176509123678
270,0;-8198,306639429773
270,5;-8182,927497621441
271,0;-8182,927497621441
